Account_Num,Facility Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership
82364,REGIONAL MEDICAL CENTER OF CENTRAL ALABAMA,29 L V STABLER DRIVE,GREENVILLE,AL,36037,BUTLER,(334) 382-2200,Acute Care Hospitals,Proprietary
48917,ST LUKE'S HOSPITAL,702 1ST ST SW,CROSBY,ND,58730,DIVIDE,(701) 965-6384,Critical Access Hospitals,Voluntary non-profit - Private
23933,FITZGIBBON HOSPITAL,2305 S 65 HIGHWAY,MARSHALL,MO,65340,SALINE,(660) 886-7431,Acute Care Hospitals,Voluntary non-profit - Private
61469,CATAWBA VALLEY MEDICAL CENTER,810 FAIRGROVE CHURCH RD,HICKORY,NC,28602,CATAWBA,(828) 326-3809,Acute Care Hospitals,Voluntary non-profit - Other
63859,THOMAS B FINAN CENTER,"10102 COUNTRY CLUB ROAD,  POST OFFICE BOX 1722",CUMBERLAND,MD,21502,ALLEGANY,(301) 777-2240,Psychiatric,Government - Local
18033,WAYNE COUNTY HOSPITAL,417 SOUTH EAST STREET,CORYDON,IA,50060,WAYNE,(641) 872-2260,Critical Access Hospitals,Government - Local
19127,COLUMBIA MEMORIAL HOSPITAL,71 PROSPECT AVENUE,HUDSON,NY,12534,COLUMBIA,(518) 828-7601,Acute Care Hospitals,Voluntary non-profit - Private
28792,"GUIDANCE CENTER, THE",2187 NORTH VICKEY STREET,FLAGSTAFF,AZ,86004,COCONINO,(928) 527-1899,Psychiatric,Voluntary non-profit - Private
56284,CHRISTUS SANTA ROSA MEDICAL CENTER,2827 BABCOCK ROAD,SAN ANTONIO,TX,78229,BEXAR,(210) 704-3342,Acute Care Hospitals,Voluntary non-profit - Church
42263,NESHOBA COUNTY GENERAL HOSPITAL,1001 HOLLAND AVENUE,PHILADELPHIA,MS,39350,NESHOBA,(601) 663-1200,Acute Care Hospitals,Government - Local
53791,BANNER CHURCHILL COMMUNITY HOSPITAL,801 EAST WILLIAMS AVENUE,FALLON,NV,89406,CHURCHILL,(775) 423-3151,Critical Access Hospitals,Voluntary non-profit - Private
26031,KIMBALL HEALTH SERVICES,505 SOUTH BURG ST,KIMBALL,NE,69145,KIMBALL,(308) 235-1951,Critical Access Hospitals,Government - Local
18098,LANE REGIONAL MEDICAL CENTER,6300 MAIN STREET,ZACHARY,LA,70791,E. BATON ROUGE,(225) 658-4000,Acute Care Hospitals,Government - Hospital District or Authority
12028,PRESBYTERIAN COMMUNITY HOSP,1451 ASHFORD AVENUE,SAN JUAN,PR,907,SAN JUAN,(787) 721-2160,Acute Care Hospitals,Voluntary non-profit - Other
67017,COLLEGE STATION MEDICAL CENTER,1604 ROCK PRAIRIE ROAD,COLLEGE STATION,TX,77842,BRAZOS,(979) 764-5151,Acute Care Hospitals,Proprietary
75608,RIVERSIDE METHODIST HOSPITAL,3535 OLENTANGY RIVER RD,COLUMBUS,OH,43214,FRANKLIN,(614) 566-5000,Acute Care Hospitals,Voluntary non-profit - Private
17034,PHILHAVEN HOSPITAL,283 SOUTH BUTLER ROAD,MT GRETNA,PA,17064,LEBANON,(717) 273-8871,Psychiatric,Voluntary non-profit - Church
10692,ST VINCENT WARRICK,1116 MILLIS AVE,BOONVILLE,IN,47601,WARRICK,(812) 897-4800,Critical Access Hospitals,Voluntary non-profit - Private
26620,CASS REGIONAL MEDICAL CENTER,2800 E ROCK HAVEN ROAD,HARRISONVILLE,MO,64701,CASS,(816) 380-5888,Critical Access Hospitals,Government - Local
82875,ATRIUM HEALTH ANSON,2301 US HIGHWAY 74 WEST,WADESBORO,NC,28170,ANSON,(704) 694-5131,Acute Care Hospitals,Government - Hospital District or Authority
52234,BAYLOR SCOTT AND WHITE EMERGENCY HOSPITAL AUBREY,26791 HIGHWAY 380,AUBREY,TX,76227,DENTON,(972) 347-2525,Acute Care Hospitals,Proprietary
62030,OWENSBORO HEALTH MUHLENBERG COMMUNITY HOSPITAL,440 HOPKINSVILLE STREET,GREENVILLE,KY,42345,MUHLENBERG,(270) 338-8000,Acute Care Hospitals,Voluntary non-profit - Private
82138,HIGHLANDS CASHIERS HOSPITAL,190 HOSPITAL DRIVE,HIGHLANDS,NC,28741,MACON,(828) 526-1200,Critical Access Hospitals,Voluntary non-profit - Private
70194,BAYLOR SCOTT & WHITE MEDICAL CENTER -TAYLOR,305 MALLARD,TAYLOR,TX,76574,WILLIAMSON,(512) 352-7611,Critical Access Hospitals,Voluntary non-profit - Private
82633,CARSON TAHOE REGIONAL MEDICAL CENTER,1600 MEDICAL PARKWAY,CARSON CITY,NV,89703,CARSON CITY,(775) 445-8000,Acute Care Hospitals,Voluntary non-profit - Private
71348,QUEEN OF THE VALLEY MEDICAL CENTER,1000 TRANCAS ST,NAPA,CA,94558,NAPA,(707) 252-4411,Acute Care Hospitals,Voluntary non-profit - Church
33241,GENESIS MEDICAL CENTER-DEWITT,1118 11TH STREET,DEWITT,IA,52742,CLINTON,(563) 659-4200,Critical Access Hospitals,Voluntary non-profit - Private
78219,WELLSTAR PAULDING HOSPITAL,2518 JIMMY LEE SMITH PARKWAY,HIRAM,GA,30141,PAULDING,(470) 644-7000,Acute Care Hospitals,Voluntary non-profit - Other
34147,UNITYPOINT HEALTH-MARSHALLTOWN,3 S 4TH AVE,MARSHALLTOWN,IA,50158,MARSHALL,(641) 754-5151,Acute Care Hospitals,Voluntary non-profit - Private
93110,LANSDALE HOSPITAL,100 MEDICAL CAMPUS DRIVE,LANSDALE,PA,19446,MONTGOMERY,(215) 368-2100,Acute Care Hospitals,Voluntary non-profit - Other
64746,PROVIDENCE MEDICAL CENTER,1200 PROVIDENCE RD,WAYNE,NE,68787,WAYNE,(402) 375-3800,Critical Access Hospitals,Voluntary non-profit - Private
60925,GUNDERSEN ST JOSEPHS HOSPITAL AND CLINICS,400 WATER AVE,HILLSBORO,WI,54634,VERNON,(608) 489-8000,Critical Access Hospitals,Voluntary non-profit - Private
92530,BRONX-LEBANON HOSPITAL CENTER,1276 FULTON AVENUE,BRONX,NY,10456,BRONX,(212) 588-7000,Acute Care Hospitals,Proprietary
58670,LASALLE GENERAL HOSPITAL,187 NINTH ST/HWY 84 WEST,JENA,LA,71342,LASALLE,(318) 992-9200,Acute Care Hospitals,Government - Hospital District or Authority
80126,ASPEN HILLS HEALTHCARE CENTER,600 PEMBERTON-BROWNS MILLS ROAD,PEMBERTON,NJ,8068,BURLINGTON,(609) 836-6100,Psychiatric,Proprietary
88440,"PORTER HOSPITAL, INC",115 PORTER DRIVE,MIDDLEBURY,VT,5753,ADDISON,(802) 388-4701,Critical Access Hospitals,Voluntary non-profit - Private
30465,UNIVERSITY HOSPITALS - ELYRIA MEDICAL CENTER,630 EAST RIVER STREET,ELYRIA,OH,44035,LORAIN,(440) 329-7500,Acute Care Hospitals,Voluntary non-profit - Private
37355,"ARKANSAS CHILDREN'S NORTHWEST, INC",2601 GENE GEORGE BOULEVARD,SPRINGDALE,AR,72762,WASHINGTON,(479) 725-6800,Childrens,Voluntary non-profit - Private
78048,CANTON-POTSDAM HOSPITAL,50 LEROY STREET,POTSDAM,NY,13676,ST. LAWRENCE,(315) 265-3300,Acute Care Hospitals,Voluntary non-profit - Private
89294,FRANKLIN REGIONAL HOSPITAL,15 AIKEN AVENUE,FRANKLIN,NH,3235,MERRIMACK,(603) 934-2060,Critical Access Hospitals,Voluntary non-profit - Private
35391,KAUAI VETERANS MEMORIAL HOSPITAL,4643 WAIMEA CANYON DRIVE,WAIMEA,HI,96796,KAUAI,(808) 338-9431,Critical Access Hospitals,Government - State
42255,CONWAY REGIONAL HEALTH SYSTEM,2302 COLLEGE AVENUE,CONWAY,AR,72034,FAULKNER,(501) 329-3831,Acute Care Hospitals,Voluntary non-profit - Private
21828,ADVENTIST HEALTH SONORA,1000 GREENLEY ROAD,SONORA,CA,95370,TUOLUMNE,(209) 536-5000,Acute Care Hospitals,Voluntary non-profit - Church
88941,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,(256) 845-3150,Acute Care Hospitals,Proprietary
94307,MEMORIAL HERMANN KATY HOSPITAL,23900 KATY FREEWAY,KATY,TX,77494,FORT BEND,(281) 392-1111,Acute Care Hospitals,Voluntary non-profit - Private
60085,SOUTH MIAMI HOSPITAL,6200 SW 73RD ST,SOUTH MIAMI,FL,33143,MIAMI-DADE,(786) 662-4000,Acute Care Hospitals,Voluntary non-profit - Private
14010,NATIONAL PARK MEDICAL CENTER,1910 MALVERN AVENUE,HOT SPRINGS,AR,71901,GARLAND,(501) 321-1000,Acute Care Hospitals,Proprietary
23451,PROVIDENCE MEDFORD MEDICAL CENTER,1111 CRATER LAKE AVENUE,MEDFORD,OR,97504,JACKSON,(541) 732-5050,Acute Care Hospitals,Voluntary non-profit - Church
82415,AURORA WEST ALLIS MEDICAL CENTER,8901 W LINCOLN AVE,WEST ALLIS,WI,53227,MILWAUKEE,(414) 328-6000,Acute Care Hospitals,Voluntary non-profit - Private
21273,PROVIDENCE ST JOSEPH HOSPITAL,500 EAST WEBSTER,CHEWELAH,WA,99109,STEVENS,(509) 935-8211,Critical Access Hospitals,Voluntary non-profit - Church
70958,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",995 9TH AVENUE SOUTHWEST,BESSEMER,AL,35021,JEFFERSON,(205) 481-7000,Acute Care Hospitals,Government - Hospital District or Authority
23988,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,23625 W R HOLMAN HIGHWAY,MONTEREY,CA,93940,MONTEREY,(831) 624-5311,Acute Care Hospitals,Voluntary non-profit - Private
88716,HOLLY HILL MENTAL HEALTH SERVICES,3019 FALSTAFF RD,RALEIGH,NC,27610,WAKE,(919) 250-7000,Psychiatric,Proprietary
21949,CHI ST ALEXIUS HEALTH DICKINSON,2500 FAIRWAY STREET,DICKINSON,ND,58601,STARK,(701) 456-4000,Critical Access Hospitals,Voluntary non-profit - Church
64309,MOUNT PLEASANT HOSPITAL,3510 HIGHWAY 17 NORTH SUITE 140,MOUNT PLEASANT,SC,29466,CHARLESTON,(843) 724-2954,Acute Care Hospitals,Voluntary non-profit - Private
17363,STRATEGIC BEHAVIORAL CENTER-CHARLOTTE,1715 SHARON ROAD WEST,CHARLOTTE,NC,28210,MECKLENBURG,(704) 944-0650,Psychiatric,Proprietary
26560,KETCHIKAN MEDICAL CENTER,3100 TONGASS AVENUE,KETCHIKAN,AK,99901,KETCHIKAN GATEWAY,(907) 225-5171,Critical Access Hospitals,Voluntary non-profit - Church
31462,COLLEGE HOSPITAL COSTA MESA,301 VICTORIA STREET,COSTA MESA,CA,92627,ORANGE,(949) 642-2734,Acute Care Hospitals,Proprietary
83263,PATRICK B HARRIS PSYCHIATRIC HOSPITAL,130 HIGHWAY 252,ANDERSON,SC,29622,ANDERSON,(803) 231-2600,Psychiatric,Government - State
90476,ADVENTHEALTH DADE CITY,13100 FT KING RD,DADE CITY,FL,33525,PASCO,(352) 568-3174,Acute Care Hospitals,Proprietary
59852,BARSTOW COMMUNITY HOSPITAL,820 E MOUNTAIN VIEW STREET,BARSTOW,CA,92311,SAN BERNARDINO,(760) 256-1761,Acute Care Hospitals,Proprietary
63076,CLINCH VALLEY MEDICAL CENTER,6801 GOVERNOR GC PERRY HIGHWAY,RICHLANDS,VA,24641,TAZEWELL,(276) 596-6000,Acute Care Hospitals,Proprietary
12867,HARDIN MEDICAL CENTER,935 WAYNE ROAD,SAVANNAH,TN,38372,HARDIN,(731) 926-8121,Acute Care Hospitals,Government - Local
46286,CHRIST HOSPITAL,2139 AUBURN AVENUE,CINCINNATI,OH,45219,HAMILTON,(513) 585-2000,Acute Care Hospitals,Voluntary non-profit - Private
43030,BUTLER COUNTY HEALTH CARE CENTER,372 SOUTH 9TH ST,DAVID CITY,NE,68632,BUTLER,(402) 367-1200,Critical Access Hospitals,Government - Local
61077,ELLENVILLE REGIONAL HOSPITAL,10 HEALTHY WAY,ELLENVILLE,NY,12428,ULSTER,(845) 647-6400,Critical Access Hospitals,Voluntary non-profit - Private
70589,SPRINGFIELD HOSPITAL CENTER,6655 SYKESVILLE ROAD,SYKESVILLE,MD,21784,CARROLL,(410) 970-7000,Psychiatric,Government - State
14880,"DELAWARE VALLEY HOSPITAL, INC",1 TITUS PLACE,WALTON,NY,13856,DELAWARE,(607) 865-2188,Critical Access Hospitals,Voluntary non-profit - Private
63509,MULTICARE AUBURN MEDICAL CENTER,202 NORTH DIVISION STREET PLAZA ONE,AUBURN,WA,98001,KING,(253) 833-7711,Acute Care Hospitals,Voluntary non-profit - Private
76421,GREEN OAKS HOSPITAL,7808 CLODUS FIELDS DRIVE,DALLAS,TX,75251,DALLAS,(972) 991-9504,Psychiatric,Voluntary non-profit - Other
15928,CHRISTUS ST MICHAEL HEALTH SYSTEM,2600 ST MICHAEL DR,TEXARKANA,TX,75504,BOWIE,(903) 614-1000,Acute Care Hospitals,Voluntary non-profit - Church
42760,TARZANA TREATMENT CENTER,18646 OXNARD STREET,TARZANA,CA,91356,LOS ANGELES,(818) 996-1051,Psychiatric,Voluntary non-profit - Private
88731,CHRISTUS SOUTHEAST TEXAS- ST ELIZABETH,2830 CALDER AVENUE,BEAUMONT,TX,77702,JEFFERSON,(409) 892-7171,Acute Care Hospitals,Voluntary non-profit - Private
53145,THE HEART HOSPITAL BAYLOR DENTON,2801 SOUTH MAYHILL ROAD,DENTON,TX,76208,DENTON,(940) 220-0600,Acute Care Hospitals,Physician
53409,RED LAKE HOSPITAL A,PO BOX 497,REDLAKE,MN,56671,BELTRAMI,(218) 679-3912,Acute Care Hospitals,Government - Federal
62424,MCGEHEE HOSPITAL,900 SOUTH THIRD STREET,MCGEHEE,AR,71654,DESHA,(870) 222-5600,Critical Access Hospitals,Voluntary non-profit - Private
77736,METHODIST HOSPITAL OF SACRAMENTO,7500 HOSPITAL DRIVE,SACRAMENTO,CA,95823,SACRAMENTO,(916) 423-6010,Acute Care Hospitals,Voluntary non-profit - Private
43533,LAKE HEALTH,7590 AUBURN ROAD,CONCORD,OH,44077,LAKE,(440) 953-9600,Acute Care Hospitals,Voluntary non-profit - Private
62814,KOSSUTH REGIONAL HEALTH CENTER,1515 SOUTH PHILLIPS STREET,ALGONA,IA,50511,KOSSUTH,(515) 295-2451,Critical Access Hospitals,Government - Local
43858,TRACE REGIONAL HOSP AND SWING BED,1002 EAST MADISON STREET,HOUSTON,MS,38851,CHICKASAW,(662) 456-3700,Acute Care Hospitals,Proprietary
35557,RIVERSIDE REGIONAL MEDICAL CENTER,500 J CLYDE MORRIS BLVD,NEWPORT NEWS,VA,23601,NEWPORT NEWS CITY,(757) 594-2000,Acute Care Hospitals,Voluntary non-profit - Private
13594,CLAY COUNTY HOSPITAL,911 STACY BURK DRIVE,FLORA,IL,62839,CLAY,(618) 662-2131,Critical Access Hospitals,Government - Local
19057,SSM HEALTH ST ANTHONY HOSPITAL - OKLAHOMA CITY,1000 NORTH LEE AVENUE,OKLAHOMA CITY,OK,73101,OKLAHOMA,(405) 272-7000,Acute Care Hospitals,Voluntary non-profit - Church
61372,AURORA SAN DIEGO,11878 AVENUE OF INDUSTRY,SAN DIEGO,CA,92128,SAN DIEGO,(858) 487-3200,Psychiatric,Proprietary
32527,MEMORIALCARE ORANGE COAST MEDICAL CENTER,9920 TALBERT AVENUE,FOUNTAIN VALLEY,CA,92708,ORANGE,(714) 378-7406,Acute Care Hospitals,Proprietary
71109,YALE-NEW HAVEN HOSPITAL,20 YORK ST,NEW HAVEN,CT,6504,NEW HAVEN,(203) 688-4242,Acute Care Hospitals,Voluntary non-profit - Private
42379,UPMC HORIZON,110 NORTH MAIN STREET,GREENVILLE,PA,16125,MERCER,(724) 588-2100,Acute Care Hospitals,Voluntary non-profit - Private
43541,BROOKLYN HOSPITAL CENTER - DOWNTOWN CAMPUS,121 DEKALB AVENUE,BROOKLYN,NY,11201,KINGS,(718) 250-8000,Acute Care Hospitals,Voluntary non-profit - Private
60274,CENTRAL TEXAS MEDICAL CENTER,1301 WONDER WORLD DRIVE,SAN MARCOS,TX,78666,HAYS,(512) 753-3690,Acute Care Hospitals,Voluntary non-profit - Private
50969,ST LUKE'S CORNWALL HOSPITAL,70 DUBOIS STREET,NEWBURGH,NY,12550,ORANGE,(845) 561-4400,Acute Care Hospitals,Voluntary non-profit - Other
10297,NORTH SUNFLOWER MEDICAL CENTER CAH,840 NORTH OAK AVENUE,RULEVILLE,MS,38771,SUNFLOWER,(662) 756-2711,Critical Access Hospitals,Government - Local
80883,PLANTATION GENERAL HOSPITAL,401 NW 42ND AVE,PLANTATION,FL,33317,BROWARD,(954) 587-5010,Acute Care Hospitals,Voluntary non-profit - Private
53639,"SAINT ALPHONSUS MEDICAL CENTER - ONTARIO, INC",351 SW 9TH STREET,ONTARIO,OR,97914,MALHEUR,(541) 881-7000,Acute Care Hospitals,Voluntary non-profit - Church
87316,TANNER MEDICAL CENTER-EAST ALABAMA,1032 MAIN STREET SOUTH,WEDOWEE,AL,36278,RANDOLPH,(256) 357-2111,Critical Access Hospitals,Government - Hospital District or Authority
20901,MORRIS HOSPITAL & HEALTHCARE CENTERS,150 W HIGH ST,MORRIS,IL,60450,GRUNDY,(815) 942-2932,Acute Care Hospitals,Voluntary non-profit - Private
59998,BANNER BEHAVIORAL HEALTH HOSPITAL,7575 EAST EARLL DRIVE,SCOTTSDALE,AZ,85251,MARICOPA,(480) 448-7500,Psychiatric,Voluntary non-profit - Private
30777,LAKE GRANBURY MEDICAL CENTER,1310 PALUXY RD,GRANBURY,TX,76048,HOOD,(817) 573-2683,Acute Care Hospitals,Proprietary
46078,OCEAN BEACH HOSPITAL,174 FIRST AVENUE NORTH,ILWACO,WA,98624,PACIFIC,(360) 642-3181,Critical Access Hospitals,Government - State
36833,PARMA COMMUNITY GENERAL HOSPITAL,7007 POWERS BOULEVARD,PARMA,OH,44129,CUYAHOGA,(440) 743-3000,Acute Care Hospitals,Voluntary non-profit - Private
77346,KAISER FOUNDATION HOSPITAL,3288 MOANALUA RD,HONOLULU,HI,96819,HONOLULU,(808) 432-0000,Acute Care Hospitals,Voluntary non-profit - Private
